SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Gate-1 Discharge (cusec),Gate-2 Discharge (cusec),Gate-3 Discharge (cusec),Gate-4 Discharge (cusec),Gate-5 Discharge (cusec),Gate-6 Discharge (cusec),Gate-7 Discharge (cusec),Gate-8 Discharge (cusec),Gate-9 Discharge (cusec),Gate-10 Discharge (cusec),Gate-11 Discharge (cusec),Gate-12 Discharge (cusec),Gate-13 Discharge (cusec),Gate-14 Discharge (cusec),Gate-15 Discharge (cusec),Gate-16 Discharge (cusec),Gate-17 Discharge (cusec),Gate-18 Discharge (cusec),Gate-19 Discharge (cusec),Gate-20 Discharge (cusec),Gate-21 Discharge (cusec),Gate-22 Discharge (cusec),Gate-23 Discharge (cusec),Gate-24 Discharge (cusec),Gate-25 Discharge (cusec)
1,Flood Flow Canal Head Regulator,Telangana SW,36,Telangana,516,NIZAMABAD,-,-,-,-,-,-,-,-,-,18.91368898,78.34351872,25-03-2026 16:00,0,0,0,0,0,0,"","","","","","","","","","","","","","","","","","",""
2,Flood Flow Canal Head Regulator,Telangana SW,36,Telangana,516,NIZAMABAD,-,-,-,-,-,-,-,-,-,18.91368898,78.34351872,25-03-2026 17:00,0,0,0,0,0,0,"","","","","","","","","","","","","","","","","","",""
3,Flood Flow Canal Head Regulator,Telangana SW,36,Telangana,516,NIZAMABAD,-,-,-,-,-,-,-,-,-,18.91368898,78.34351872,25-03-2026 23:00,0,0,0,0,0,0,"","","","","","","","","","","","","","","","","","",""
4,Flood Flow Canal Head Regulator,Telangana SW,36,Telangana,516,NIZAMABAD,-,-,-,-,-,-,-,-,-,18.91368898,78.34351872,26-03-2026 00:00,0,0,0,0,0,0,"","","","","","","","","","","","","","","","","","",""
5,Flood Flow Canal Head Regulator,Telangana SW,36,Telangana,516,NIZAMABAD,-,-,-,-,-,-,-,-,-,18.91368898,78.34351872,26-03-2026 01:00,0,0,0,0,0,0,"","","","","","","","","","","","","","","","","","",""
6,Flood Flow Canal Head Regulator,Telangana SW,36,Telangana,516,NIZAMABAD,-,-,-,-,-,-,-,-,-,18.91368898,78.34351872,26-03-2026 02:00,0,0,0,0,0,0,"","","","","","","","","","","","","","","","","","",""
7,Flood Flow Canal Head Regulator,Telangana SW,36,Telangana,516,NIZAMABAD,-,-,-,-,-,-,-,-,-,18.91368898,78.34351872,26-03-2026 04:00,0,0,0,0,0,0,"","","","","","","","","","","","","","","","","","",""
8,Flood Flow Canal Head Regulator,Telangana SW,36,Telangana,516,NIZAMABAD,-,-,-,-,-,-,-,-,-,18.91368898,78.34351872,26-03-2026 05:00,0,0,0,0,0,0,"","","","","","","","","","","","","","","","","","",""
9,Flood Flow Canal Head Regulator,Telangana SW,36,Telangana,516,NIZAMABAD,-,-,-,-,-,-,-,-,-,18.91368898,78.34351872,26-03-2026 06:00,0,0,0,0,0,0,"","","","","","","","","","","","","","","","","","",""
10,Flood Flow Canal Head Regulator,Telangana SW,36,Telangana,516,NIZAMABAD,-,-,-,-,-,-,-,-,-,18.91368898,78.34351872,26-03-2026 07:00,0,0,0,0,0,0,"","","","","","","","","","","","","","","","","","",""
